Field,Well,Estatus,Pera/Macropera,Bateria,Lat,Long,Macropera,(DD/MM/AAAA),PT,Tipo
Ogarrio,Ogarrio-1473,PRODUCTOR ,Ogarrio-829,Ogarrio 5,17.99116667,-93.92733333,Ogarrio-829,12/08/2008,2809,D
Ogarrio,Ogarrio-1476D,CERRADO CON OPORTUNIDADES,Ogarrio-803,Ogarrio 5,18.00377778,-93.93697222,Ogarrio-803,17/10/2013,2695,D
Ogarrio,Ogarrio-1480,PRODUCTOR ,Ogarrio-816,Ogarrio 5,18.00033333,-93.93083333,Ogarrio-816,12/12/2008,2700,D
Ogarrio,Ogarrio-1480D,PRODUCTOR ,Ogarrio-816,Ogarrio 5,18.00005556,-93.93219444,Ogarrio-816,17/06/2012,2432,D
Ogarrio,Ogarrio-1482,PRODUCTOR ,Ogarrio-816,Ogarrio 5,18.00025,-93.93088889,Ogarrio-816,18/01/2009,2676,D
Ogarrio,Ogarrio-1483,CERRADO CON OPORTUNIDADES,Ogarrio-1483,Ogarrio 5,17.9985,-93.94058333,Ogarrio-805,07/08/2012,3076,D
Ogarrio,Ogarrio-1483D,PRODUCTOR ,Ogarrio-1483,Ogarrio 5,17.99863889,-93.9405,Ogarrio-805,09/11/2013,2770,D
Ogarrio,Ogarrio-1484,PRODUCTOR ,Ogarrio-1484,Ogarrio 5,18.00952778,-93.94711111,Ogarrio-1484,31/03/2011,3157,D
Ogarrio,Ogarrio-1485,PRODUCTOR ,Ogarrio-1485,Ogarrio 5,17.99155556,-93.93402778,Ogarrio-831,15/09/2012,2926,D
Ogarrio,Ogarrio-1486,PRODUCTOR ,Ogarrio-1485,Ogarrio 5,17.99166667,-93.93408333,Ogarrio-831,26/10/2012,2993,D
Ogarrio,Ogarrio-1487,CERRADO CON OPORTUNIDADES,Ogarrio-1487,Ogarrio 5,18.00391667,-93.93077778,Ogarrio-822,27/06/2012,2581,D
Ogarrio,Ogarrio-1488,PRODUCTOR ,Ogarrio-803,Ogarrio 5,18.00377778,-93.93697222,Ogarrio-803,29/05/2012,2950,D
Ogarrio,Ogarrio-1489,PRODUCTOR ,Ogarrio-811,Ogarrio 5,18.00741667,-93.93738889,Ogarrio-811,23/10/2012,2697,D
Ogarrio,Ogarrio-1490,PRODUCTOR ,Ogarrio-1490,Ogarrio 5,18.02211111,-93.95688889,Ogarrio-1205,03/10/2012,2985,D
Ogarrio,Ogarrio-1491,CERRADO CON OPORTUNIDADES,Ogarrio-1491,Ogarrio 5,18.00402778,-93.94366667,Ogarrio-1491,24/04/2012,2915,D
